lito,tema,codigo,puntaje
009394,B,310607,1768.75
011677,B,305599,1747.5
011252,B,303453,1645.0
011176,B,312017,1645.0
010529,B,303735,1547.5
009963,B,316232,1543.75
010416,B,305607,1538.75
009498,B,306704,1431.25
010210,B,317214,1407.5
011609,B,326801,1375.0
010858,B,301267,1358.75
009344,B,307959,1355.0
009521,B,306340,1346.25
033933,B,307108,1311.25
009555,B,314583,1241.25
010097,B,301739,1237.5
010368,B,312728,1235.0
009659,B,315416,1222.5
011500,B,305490,1221.25
010562,B,308197,1216.25
009630,B,312975,1180.0
009781,B,304923,1171.25
010923,B,308189,1168.75
009922,B,300921,1141.25
010826,B,305318,1137.5
009978,B,325878,1118.75
009951,B,345280,1110.0
010628,B,300152,1101.25
010769,B,311597,1078.75
009823,B,306258,1068.75
010910,B,310789,1067.5
010730,B,312165,1041.25
011023,B,330134,1030.0
009061,B,320283,1016.25
009586,B,320499,1008.75
011506,B,310979,1003.75
011819,B,314294,997.5
009561,B,302075,987.5
011217,B,314260,985.0
033961,B,309369,961.25
010556,B,317701,958.75
011721,B,316927,956.25
010580,B,310805,951.25
033943,B,300277,947.5
010218,B,300051,926.25
009560,B,303099,921.25
011808,B,305474,916.25
009448,B,312033,915.0
010595,B,320531,913.75
011557,B,302422,896.25
010875,B,319012,885.0
033922,B,316588,881.25
009787,B,310193,881.25
009859,B,314039,880.0
011271,B,301317,878.75
010048,B,312249,878.75
010313,B,320333,871.25
010975,B,309906,861.25
009909,B,308700,858.75
009607,B,302182,852.5
009111,B,308965,842.5
010601,B,345819,837.5
010775,B,340703,831.25
011184,B,312587,830.0
011030,B,341024,826.25
009515,B,304717,812.5
011146,B,321109,810.0
033971,B,310961,806.25
009168,B,307116,797.5
010333,B,307611,797.5
011047,B,314674,788.75
011054,B,316984,788.75
009820,B,308593,788.75
011345,B,325233,776.25
010197,B,313643,775.0
011471,B,314278,775.0
033938,B,306308,773.75
009141,B,350363,768.75
011833,B,306365,767.5
011786,B,306498,753.75
010077,B,300905,752.5
009312,B,319103,752.5
009664,B,325258,750.0
009467,B,312231,748.75
011699,B,330654,746.25
009543,B,310508,745.0
009894,B,331678,742.5
009875,B,330084,741.25
011426,B,314963,737.5
010447,B,318402,737.5
009886,B,326066,736.25
009973,B,325167,736.25
010833,B,330100,733.75
010997,B,305862,732.5
011752,B,314526,728.75
011795,B,311944,727.5
011472,B,309468,727.5
009734,B,303594,725.0
011732,B,305003,721.25
009968,B,314377,713.75
011282,B,318659,712.5
010311,B,340281,711.25
011140,B,300244,711.25
010151,B,320895,706.25
011734,B,300137,706.25
009695,B,320762,703.75
011619,B,350082,702.5
010244,B,325969,701.25
010256,B,301283,697.5
011524,B,341016,696.25
011849,B,317032,696.25
009648,B,340430,693.75
011110,B,325951,693.75
009217,B,313627,687.5
009307,B,308577,686.25
010790,B,306746,683.75
009861,B,321224,683.75
010539,B,312181,682.5
009520,B,311977,680.0
009294,B,309534,677.5
010701,B,300822,673.75
033991,B,313155,667.5
009837,B,300426,661.25
009380,B,318873,658.75
010348,B,318089,657.5
011390,B,309583,656.25
010086,B,331090,652.5
033977,B,320044,650.0
009171,B,325753,646.25
009195,B,321349,646.25
011157,B,316398,643.75
010881,B,304147,642.5
009609,B,303883,642.5
010538,B,331819,641.25
011394,B,316059,637.5
010758,B,331330,633.75
010045,B,304873,632.5
011549,B,316810,632.5
010510,B,314369,630.0
010510,B,316323,630.0
010167,B,302687,627.5
010895,B,311316,625.0
010320,B,301036,618.75
011485,B,305243,618.75
011665,B,311993,617.5
009205,B,330118,616.25
009402,B,318360,615.0
010274,B,306324,608.75
033891,B,309302,605.0
010690,B,303529,605.0
011437,B,302992,602.5
010259,B,301945,600.0
010818,B,317040,598.75
010036,B,332676,598.75
009728,B,302232,598.75
009313,B,319897,598.75
010950,B,316570,597.5
010955,B,303289,591.25
011343,B,303271,588.75
011763,B,318972,587.5
011246,B,315606,581.25
009011,B,303446,580.0
010129,B,308585,576.25
009427,B,312363,576.25
011169,B,316471,570.0
009821,B,312736,567.5
010400,B,309419,567.5
011627,B,332346,567.5
009151,B,319855,567.5
010561,B,302299,565.0
010415,B,345397,563.75
011517,B,307728,562.5
011124,B,317826,561.25
010722,B,316877,561.25
011678,B,309823,557.5
010308,B,313114,557.5
009755,B,316745,555.0
009818,B,314609,555.0
009539,B,330365,552.5
011003,B,319582,552.5
009029,B,331520,550.0
009104,B,331256,547.5
011102,B,306944,547.5
011428,B,321141,546.25
011563,B,313700,546.25
011010,B,345116,542.5
011591,B,350181,536.25
009357,B,319442,535.0
011236,B,313270,535.0
011480,B,000676,533.75
010865,B,319814,533.75
011541,B,321042,533.75
011082,B,313494,533.75
011409,B,331686,532.5
010585,B,310581,532.5
011369,B,313544,531.25
009373,B,340661,530.0
009445,B,315705,527.5
009675,B,312702,526.25
011560,B,306431,525.0
033907,B,315614,523.75
011308,B,325670,521.25
009472,B,306381,520.0
009278,B,303859,517.5
010654,B,300913,516.25
009709,B,312959,513.75
009615,B,313528,512.5
010350,B,300566,512.5
011672,B,319343,512.5
009140,B,312041,510.0
009680,B,313841,508.75
009793,B,319277,508.75
010137,B,350157,508.75
010074,B,306142,502.5
009255,B,312934,501.25
009462,B,345298,500.0
009298,B,345306,500.0
011061,B,345199,497.5
010192,B,311142,496.25
010662,B,317685,495.0
010456,B,316190,493.75
011805,B,312801,493.75
009042,B,320515,493.75
009851,B,332577,492.5
011188,B,300145,491.25
010226,B,345231,491.25
011362,B,301226,491.25
010490,B,308775,490.0
009261,B,300491,488.75
010512,B,320804,488.75
009994,B,330480,486.25
033915,B,301150,481.25
009114,B,309666,477.5
010802,B,315481,477.5
010860,B,309781,477.5
010203,B,311555,476.25
010406,B,310953,475.0
009129,B,350223,473.75
010904,B,305623,472.5
010378,B,340174,472.5
011247,B,312025,471.25
010040,B,300665,470.0
033985,B,317156,470.0
010055,B,330092,468.75
010431,B,307751,466.25
010017,B,311431,462.5
011331,B,304105,462.5
010177,B,316315,461.25
011041,B,332023,455.0
009682,B,345470,453.75
010648,B,340240,451.25
010983,B,341370,450.0
010092,B,326298,445.0
011374,B,302869,445.0
009686,B,332122,443.75
010098,B,340711,438.75
010961,B,330589,435.0
010969,B,315846,433.75
010688,B,340539,433.75
009910,B,340778,432.5
010637,B,317263,431.25
011413,B,340372,428.75
009568,B,330225,428.75
010706,B,319392,427.5
010893,B,341164,426.25
011706,B,312892,426.25
010642,B,301804,425.0
009948,B,341545,423.75
011210,B,300624,422.5
010363,B,319707,420.0
011585,B,318410,417.5
011657,B,301382,417.5
011582,B,308668,416.25
010322,B,326900,416.25
011329,B,301390,413.75
010926,B,340216,413.75
010738,B,306878,412.5
009748,B,310136,411.25
010301,B,340125,406.25
009158,B,301580,406.25
011495,B,318733,405.0
009051,B,316687,402.5
009483,B,301481,401.25
011071,B,332395,400.0
009928,B,313239,397.5
010843,B,326744,396.25
010459,B,341594,393.75
009768,B,300061,390.0
010640,B,320002,390.0
009194,B,301341,385.0
010034,B,312421,385.0
009634,B,314823,382.5
011090,B,317834,382.5
011602,B,302240,381.25
009057,B,326231,380.0
010023,B,340166,370.0
009270,B,314971,370.0
011771,B,331934,365.0
011690,B,308874,363.75
009432,B,308221,362.5
009006,B,332643,360.0
009843,B,332205,360.0
009271,B,300053,358.75
010741,B,302737,358.75
011263,B,314815,355.0
011459,B,332155,355.0
009170,B,325100,350.0
011844,B,313437,350.0
011476,B,30516 ,348.75
011095,B,305417,347.5
009931,B,318725,345.0
011402,B,319889,345.0
010481,B,340836,343.75
009379,B,319723,343.75
033957,B,305177,341.25
010715,B,312439,340.0
009419,B,341073,331.25
011779,B,303073,330.0
009333,B,318055,326.25
010810,B,311647,323.75
011743,B,303438,322.5
011301,B,332692,317.5
009742,B,340844,313.75
010402,B,332601,312.5
010614,B,341057,310.0
010782,B,325860,307.5
009079,B,319988,307.5
009098,B,340752,306.25
