lito,tema,codigo,puntaje
010492,C,312082,1557.5
011241,C,331652,1551.25
011820,C,345348,1498.75
009290,C,306886,1430.0
010261,C,302489,1406.25
009343,C,311779,1406.25
010776,C,326108,1361.25
011796,C,307306,1347.5
009136,C,301952,1341.25
010723,C,308502,1312.5
009400,C,309427,1306.25
010682,C,315085,1295.0
009767,C,331777,1255.0
010663,C,310300,1225.0
009512,C,304543,1218.75
011618,C,332767,1200.0
010066,C,302091,1175.0
011062,C,308973,1168.75
009608,C,315861,1146.25
009064,C,311738,1143.75
009663,C,302216,1127.5
011558,C,305870,1123.75
009106,C,320614,1122.5
010711,C,317289,1106.25
009777,C,320200,1080.0
011554,C,309161,1072.5
009614,C,306787,1048.75
009652,C,308791,1042.5
009796,C,313924,1025.0
010568,C,311886,1021.25
009096,C,330696,1003.75
010171,C,326256,1002.5
033999,C,303420,997.5
011048,C,325282,983.75
011523,C,304733,982.5
010713,C,300806,971.25
011012,C,332338,967.5
010947,C,310151,963.75
010581,C,310037,960.0
010873,C,319483,958.75
009562,C,316224,957.5
011162,C,316489,956.25
009829,C,331355,952.5
011353,C,300731,936.25
009556,C,302695,926.25
010414,C,308403,916.25
010763,C,303412,908.75
009868,C,308122,906.25
011725,C,307801,900.0
009580,C,316448,895.0
011259,C,317966,888.75
009595,C,305037,871.25
033978,C,320952,863.75
009024,C,317438,860.0
010609,C,313742,860.0
010705,C,319020,847.5
011258,C,304139,846.25
011363,C,310409,841.25
011542,C,326306,841.25
033940,C,318436,841.25
009773,C,305896,837.5
009817,C,315374,830.0
009377,C,318006,822.5
009476,C,316372,822.5
011625,C,317396,810.0
011730,C,304931,805.0
011144,C,317628,803.75
010437,C,310698,801.25
009256,C,330951,801.25
009418,C,305789,793.75
011781,C,301010,793.75
010211,C,302315,792.5
011700,C,306795,792.5
010909,C,318386,791.25
009737,C,311787,785.0
011024,C,312454,781.25
009780,C,305839,778.75
011441,C,307405,778.75
009850,C,300681,776.25
009489,C,304618,775.0
010484,C,326710,773.75
009359,C,306332,772.5
009265,C,300186,771.25
011103,C,308536,768.75
009123,C,316901,761.25
009208,C,309575,755.0
009451,C,310649,753.75
011042,C,313296,751.25
011772,C,316935,751.25
009636,C,302612,746.25
011116,C,310052,745.0
011395,C,311894,742.5
010365,C,307348,742.5
011584,C,305706,738.75
011715,C,331173,737.5
011287,C,330316,732.5
011565,C,345991,727.5
011639,C,309252,725.0
009187,C,341214,723.75
010622,C,304279,722.5
010924,C,302414,720.0
011482,C,326413,716.25
009683,C,325159,711.25
009569,C,310797,711.25
009715,C,326736,710.0
011198,C,341222,707.5
