lito,tema,codigo,puntaje
011470,D,326553,1731.25
010584,D,310938,1703.75
009738,D,307694,1523.75
011692,D,306423,1506.25
010724,D,309492,1486.25
009327,D,308239,1462.5
010820,D,305292,1371.25
009252,D,309070,1362.5
009358,D,345074,1306.25
010676,D,321208,1295.0
010212,D,326660,1295.0
010153,D,310433,1292.5
010709,D,316422,1292.5
010804,D,321364,1203.75
011617,D,326595,1192.5
010869,D,308452,1171.25
009869,D,309054,1153.75
010367,D,312694,1140.0
009222,D,307025,1120.0
009587,D,304071,1108.75
010479,D,325183,1106.25
011097,D,331603,1105.0
011662,D,319491,1095.0
010062,D,309104,1087.5
033979,D,303891,1063.75
009957,D,305060,1057.5
009867,D,315044,1056.25
009331,D,304501,1046.25
011722,D,309088,1038.75
009754,D,301416,1032.5
010535,D,312884,1017.5
010253,D,307033,976.25
011170,D,319145,972.5
009376,D,320267,971.25
011739,D,302760,970.0
011407,D,304311,968.75
010596,D,313767,961.25
010792,D,310003,958.75
010959,D,306357,941.25
011138,D,331405,938.75
011111,D,300079,937.5
009789,D,310425,933.75
009097,D,309658,912.5
010195,D,320481,912.5
009297,D,303339,901.25
009795,D,330399,886.25
011537,D,305219,883.75
033910,D,303040,880.0
010157,D,316620,878.75
009458,D,330381,877.5
011610,D,312793,865.0
009684,D,318303,865.0
009987,D,325829,865.0
010031,D,307736,860.0
010784,D,318717,852.5
011196,D,310292,852.5
033941,D,314740,850.0
010652,D,312116,850.0
011129,D,314872,847.5
009345,D,340018,843.75
011221,D,331447,843.75
010740,D,307660,841.25
011626,D,306688,840.0
033954,D,303602,840.0
009273,D,345363,840.0
009849,D,304162,837.5
011633,D,320309,833.75
010087,D,316463,826.25
009541,D,316943,816.25
010744,D,307397,815.0
010219,D,303354,815.0
010009,D,313601,815.0
009514,D,325456,801.25
010012,D,303743,800.0
009030,D,315747,788.75
010542,D,340828,788.75
033962,D,318642,788.75
011208,D,306621,768.75
009707,D,317339,767.5
010777,D,316240,767.5
009075,D,300590,767.5
011214,D,301929,766.25
010977,D,305680,763.75
010294,D,300392,760.0
011797,D,318238,748.75
009457,D,309179,746.25
009367,D,307421,738.75
010704,D,000179,738.75
009456,D,311373,737.5
010985,D,332775,737.5
009744,D,316661,736.25
010963,D,304741,736.25
010624,D,302885,733.75
010349,D,314591,727.5
011535,D,304303,726.25
010228,D,325415,723.75
009390,D,350090,715.0
010453,D,310441,715.0
011825,D,305573,710.0
010691,D,340117,708.75
010482,D,312488,706.25
011746,D,311472,706.25
009712,D,305078,702.5
011578,D,304642,700.0
033899,D,320747,700.0
010812,D,309021,697.5
009626,D,321216,696.25
009366,D,300616,692.5
011510,D,320846,691.25
009563,D,316547,691.25
010307,D,303875,690.0
011553,D,314401,685.0
010524,D,313072,683.75
010883,D,312660,680.0
009827,D,303347,678.75
009981,D,305771,675.0
011468,D,301168,671.25
011503,D,320150,670.0
033935,D,311324,667.5
010138,D,304204,665.0
010835,D,321125,661.25
009887,D,319327,661.25
010470,D,345983,661.25
010143,D,304121,657.5
009047,D,326777,653.75
010732,D,315382,645.0
011372,D,326181,643.75
011701,D,321711,642.5
010874,D,317941,641.25
010429,D,318311,636.25
009209,D,317933,636.25
011264,D,326702,632.5
010185,D,332403,631.25
010475,D,303057,630.0
010057,D,319798,625.0
011001,D,305334,623.75
009439,D,312777,621.25
009954,D,313551,621.25
009979,D,331785,620.0
010764,D,315366,618.75
011013,D,304592,618.75
011270,D,318188,617.5
010435,D,317859,611.25
010124,D,312918,611.25
033918,D,317982,602.5
009196,D,325423,601.25
011773,D,318444,600.0
010240,D,319848,598.75
011450,D,301374,598.75
011645,D,306480,597.5
009199,D,315689,596.25
011483,D,330076,593.75
011392,D,317024,591.25
009592,D,300608,587.5
033884,D,345710,583.75
010755,D,318857,580.0
011163,D,320184,578.75
010188,D,300541,577.5
011005,D,318527,576.25
011646,D,330035,576.25
010717,D,320259,576.25
009774,D,305847,573.75
010375,D,317636,571.25
010101,D,307553,570.0
011189,D,331462,570.0
011384,D,318154,570.0
011025,D,315721,567.5
011070,D,330472,567.5
009154,D,332445,566.25
010399,D,313817,565.0
009528,D,315176,563.75
