lito,tema,codigo,puntaje
010599,Q,305482,1768.75
011469,Q,311878,1723.75
010222,Q,306191,1602.5
011801,Q,313734,1537.5
011507,Q,307983,1523.75
010608,Q,327130,1443.75
033929,Q,300947,1440.0
010747,Q,312645,1437.5
009667,Q,305326,1435.0
011687,Q,313304,1427.5
009583,Q,325225,1425.0
009135,Q,311621,1415.0
009446,Q,320549,1407.5
009589,Q,307561,1406.25
010190,Q,303008,1320.0
011724,Q,311753,1312.5
009816,Q,317115,1292.5
009895,Q,316604,1282.5
009401,Q,330241,1238.75
011050,Q,302208,1226.25
010021,Q,307637,1222.5
010038,Q,313288,1201.25
009211,Q,345454,1185.0
009552,Q,301994,1183.75
033987,Q,302059,1180.0
010698,Q,316125,1177.5
011105,Q,309005,1150.0
011199,Q,318931,1140.0
010666,Q,306670,1112.5
011460,Q,303925,1110.0
011256,Q,320713,1105.0
011814,Q,311506,1103.75
010267,Q,314211,1102.5
009810,Q,312819,1100.0
010275,Q,305201,1090.0
011416,Q,314468,1075.0
010891,Q,315960,1070.0
011029,Q,310771,1060.0
009274,Q,319269,1048.75
010165,Q,306217,1046.25
010425,Q,308957,1041.25
010547,Q,307579,1025.0
009883,Q,317842,1025.0
009180,Q,345256,1015.0
010141,Q,317727,1013.75
010571,Q,332759,1011.25
010463,Q,345025,1005.0
009002,Q,305888,991.25
011422,Q,345900,985.0
011571,Q,313726,967.5
009779,Q,302265,962.5
010632,Q,308015,960.0
011076,Q,309484,956.25
010692,Q,319962,948.75
010004,Q,301770,941.25
011153,Q,304709,936.25
009527,Q,302109,933.75
009227,Q,317883,920.0
010105,Q,301259,913.75
011266,Q,340109,892.5
009944,Q,309997,872.5
010126,Q,341313,872.5
009430,Q,325407,867.5
010829,Q,305441,861.25
010366,Q,318949,860.0
009225,Q,300459,857.5
009374,Q,301747,848.75
010303,Q,302778,841.25
010310,Q,326843,841.25
009020,Q,319251,830.0
011113,Q,321414,827.5
011631,Q,317370,825.0
010987,Q,307967,813.75
009181,Q,330704,811.25
009330,Q,341339,810.0
011718,Q,317065,801.25
010822,Q,316067,800.0
010385,Q,321380,798.75
009147,Q,300582,797.5
011533,Q,316786,792.5
011461,Q,327114,782.5
010199,Q,304659,781.25
009847,Q,300442,780.0
010264,Q,301887,777.5
011764,Q,309435,775.0
009248,Q,319244,773.75
010480,Q,311811,771.25
011545,Q,306589,770.0
010932,Q,318105,767.5
009148,Q,311464,766.25
009346,Q,305755,760.0
009627,Q,311233,756.25
009998,Q,312330,751.25
010079,Q,326058,746.25
033886,Q,302711,745.0
009088,Q,311803,736.25
010393,Q,308312,733.75
009267,Q,301440,732.5
011655,Q,331116,732.5
011359,Q,303610,730.0
009716,Q,330803,730.0
010519,Q,308296,728.75
009385,Q,309385,727.5
010242,Q,308726,725.0
010635,Q,345579,725.0
011520,Q,305524,725.0
011527,Q,314492,722.5
010325,Q,311290,722.5
009782,Q,316711,710.0
009532,Q,309310,710.0
010517,Q,317420,705.0
010806,Q,302562,701.25
009386,Q,309757,698.75
010684,Q,326819,683.75
033906,Q,313429,682.5
009610,Q,312306,680.0
010836,Q,326868,676.25
009153,Q,308114,676.25
010979,Q,307165,672.5
010958,Q,316752,670.0
010296,Q,308841,670.0
011297,Q,315390,662.5
010230,Q,315093,661.25
010745,Q,330969,661.25
009310,Q,321182,660.0
011452,Q,312686,658.75
009229,Q,309864,657.5
011694,Q,303511,656.25
011386,Q,308288,653.75
010477,Q,313809,648.75
009772,Q,304915,643.75
009107,Q,306449,642.5
011098,Q,316018,641.25
011093,Q,301135,641.25
009661,Q,312199,640.0
011310,Q,313932,632.5
009831,Q,330688,627.5
010659,Q,345967,626.25
010939,Q,340323,625.0
010814,Q,320424,623.75
033966,Q,321398,620.0
011750,Q,303941,620.0
010106,Q,341248,613.75
011775,Q,304436,607.5
011406,Q,325399,605.0
010607,Q,325373,603.75
011799,Q,330431,600.0
010329,Q,312496,600.0
010423,Q,345157,600.0
033911,Q,300269,598.75
010868,Q,304626,597.5
010133,Q,310623,597.5
010726,Q,304386,593.75
011550,Q,331231,585.0
009888,Q,331181,585.0
011237,Q,310946,582.5
009475,Q,318899,582.5
011821,Q,301572,578.75
010206,Q,318071,576.25
009941,Q,320069,576.25
009285,Q,302836,576.25
011086,Q,317776,575.0
011019,Q,317867,573.75
009992,Q,313569,571.25
009962,Q,320853,570.0
011641,Q,300830,567.5
009865,Q,302323,566.25
033996,Q,300087,565.0
009415,Q,305672,565.0
009733,Q,308213,563.75
010483,Q,345033,563.75
009247,Q,303537,562.5
009650,Q,341271,561.25
011848,Q,303297,560.0
010772,Q,300012,555.0
010420,Q,310284,555.0
010531,Q,318782,552.5
010318,Q,325902,552.5
011014,Q,316349,548.75
009291,Q,303321,545.0
009435,Q,307942,542.5
011294,Q,304808,540.0
010898,Q,306225,540.0
011315,Q,308981,537.5
010075,Q,321240,536.25
010844,Q,340455,533.75
011137,Q,309559,533.75
010344,Q,312561,533.75
009131,Q,327023,532.5
011230,Q,305250,532.5
010671,Q,313254,531.25
011067,Q,301671,530.0
011007,Q,317693,530.0
011356,Q,332460,530.0
010166,Q,307819,528.75
010110,Q,319772,525.0
009673,Q,331215,525.0
009759,Q,300673,523.75
011453,Q,306456,523.75
009518,Q,309633,520.0
009572,Q,303628,520.0
010793,Q,321281,518.75
009714,Q,319541,517.5
011127,Q,317016,515.0
010182,Q,320127,513.75
010846,Q,319459,512.5
011562,Q,306563,512.5
009550,Q,305227,508.75
010451,Q,331025,508.75
009478,Q,318865,507.5
010507,Q,310177,506.25
009938,Q,350314,502.5
009295,Q,311381,501.25
011598,Q,315630,498.75
011064,Q,301192,496.25
010560,Q,310664,481.25
010915,Q,311910,476.25
011703,Q,340984,475.0
011635,Q,317719,473.75
010598,Q,303792,470.0
009764,Q,314419,468.75
009955,Q,309989,468.75
009466,Q,317552,467.5
010779,Q,313452,465.0
011674,Q,304055,463.75
011756,Q,330340,462.5
011490,Q,310391,458.75
009604,Q,313999,458.75
010546,Q,311019,457.5
011151,Q,321703,452.5
009016,Q,3174 3,452.5
009447,Q,325126,451.25
009513,Q,314427,450.0
010965,Q,331488,450.0
011650,Q,314161,448.75
010145,Q,319533,448.75
011539,Q,312926,448.75
010408,Q,330324,446.25
009855,Q,310375,445.0
009925,Q,311191,443.75
010114,Q,316026,440.0
011128,Q,332536,437.5
011213,Q,331272,437.5
010503,Q,308437,436.25
010440,Q,306639,435.0
009593,Q,330662,433.75
010885,Q,321596,432.5
010000,Q,314930,430.0
033937,Q,341560,428.75
009309,Q,313916,427.5
009165,Q,311043,427.5
010786,Q,345223,427.5
009393,Q,307876,426.25
009354,Q,327098,423.75
011615,Q,312843,420.0
009900,Q,302984,418.75
010014,Q,319632,416.25
