lito,tema,codigo,puntaje
011107,R,311639,1687.5
010160,R,312314,1685.0
011219,R,302331,1665.0
011377,R,300160,1643.75
011207,R,306662,1578.75
011051,R,301069,1491.25
010557,R,308338,1483.75
010807,R,332726,1481.25
011304,R,314450,1448.75
009656,R,315655,1440.0
010796,R,310094,1400.0
009319,R,309872,1388.75
009461,R,307017,1362.5
009739,R,301531,1350.0
010515,R,306126,1347.5
010699,R,326546,1300.0
009453,R,320192,1285.0
010016,R,308676,1267.5
010618,R,315986,1265.0
009803,R,311688,1255.0
009969,R,309237,1228.75
010902,R,331512,1223.75
011638,R,305961,1171.25
011366,R,305813,1165.0
009050,R,304238,1162.5
009230,R,314682,1147.5
009197,R,310912,1126.25
009090,R,325092,1120.0
011133,R,325340,1117.5
010716,R,321745,1115.0
010231,R,315317,1077.5
010094,R,350140,1067.5
011429,R,307215,1057.5
011491,R,309476,1041.25
011501,R,325274,1035.0
011255,R,304089,1032.5
033905,R,310334,1031.25
033986,R,302570,1028.75
010866,R,310029,1020.0
009355,R,314567,1018.75
011784,R,301788,1002.5
010727,R,308817,986.25
009815,R,306050,985.0
009611,R,326173,961.25
010823,R,302596,958.75
009727,R,316299,936.25
011806,R,321646,932.5
010712,R,310060,923.75
009937,R,332098,916.25
010346,R,341503,916.25
010966,R,345850,898.75
011573,R,316976,896.25
011636,R,305029,892.5
033902,R,313056,892.5
011711,R,309450,891.25
011022,R,315663,888.75
009080,R,305367,880.0
009005,R,302919,873.75
011267,R,300111,873.75
010634,R,325688,867.5
010300,R,307090,863.75
010886,R,309708,863.75
009052,R,340554,852.5
010068,R,313031,852.5
009658,R,308783,847.5
011186,R,307058,843.75
011465,R,315010,838.75
011766,R,330548,835.0
011800,R,317073,830.0
011065,R,331363,827.5
009523,R,317792,827.5
011613,R,305904,825.0
009732,R,313460,818.75
010552,R,315028,816.25
010787,R,308718,816.25
011143,R,307488,815.0
009091,R,330308,812.5
009339,R,341875,810.0
009155,R,308056,807.5
009275,R,320960,791.25
010794,R,308734,791.25
010150,R,307439,791.25
011661,R,304998,775.0
010051,R,308098,773.75
010462,R,318675,772.5
011079,R,306068,771.25
009618,R,301895,767.5
009584,R,306159,762.5
033912,R,332106,753.75
011418,R,310045,747.5
010495,R,304519,746.25
010215,R,311852,745.0
010933,R,300855,743.75
011191,R,313379,741.25
010317,R,308460,741.25
010972,R,345165,740.0
011847,R,315903,738.75
010956,R,326686,731.25
011327,R,300897,731.25
009288,R,304014,727.5
009060,R,326470,727.5
009643,R,310102,725.0
011412,R,303909,721.25
010993,R,303719,718.75
009961,R,303230,715.0
011552,R,305763,715.0
011729,R,315515,710.0
010418,R,319434,710.0
009511,R,321000,705.0
011212,R,313023,703.75
011654,R,309203,702.5
010339,R,311050,698.75
009201,R,330878,697.5
010178,R,325704,696.25
009953,R,312850,696.25
033993,R,306829,695.0
010532,R,310318,685.0
009966,R,326587,683.75
009835,R,340422,683.75
011596,R,316166,682.5
