lito,tema,codigo,puntaje
010889,S,325795,1625.0
010146,S,301861,1575.0
010474,S,304378,1530.0
009137,S,315242,1510.0
010795,S,302703,1470.0
010476,S,302513,1456.25
009769,S,303560,1441.25
010351,S,325290,1401.25
011742,S,325480,1385.0
009591,S,309641,1355.0
009676,S,303651,1255.0
009138,S,311407,1216.25
010304,S,332742,1191.25
011622,S,313445,1157.5
011463,S,301044,1150.0
033946,S,326132,1137.5
009778,S,305094,1107.5
010260,S,301119,1102.5
010428,S,318030,1095.0
009882,S,304188,1091.25
009387,S,311720,1083.75
011531,S,306779,1051.25
011765,S,310110,1045.0
009530,S,306001,1043.75
009070,S,332056,1041.25
011411,S,315929,977.5
011594,S,332353,971.25
010566,S,317248,923.75
010161,S,330456,921.25
011467,S,312652,916.25
010650,S,301408,915.0
033930,S,332684,897.5
011388,S,301507,890.0
011589,S,306696,883.75
009740,S,306910,880.0
010250,S,310532,877.5
010142,S,311480,852.5
009825,S,330621,833.75
009690,S,304600,827.5
010855,S,308148,823.75
009392,S,307884,822.5
009048,S,301200,821.25
011577,S,326157,816.25
011052,S,300707,816.25
009927,S,316265,810.0
011505,S,308833,792.5
009726,S,331421,792.5
011286,S,330126,790.0
009502,S,330746,790.0
009510,S,301903,785.0
033983,S,325993,778.75
009184,S,314153,775.0
010500,S,320804,772.5
010605,S,303933,770.0
011367,S,303198,770.0
011328,S,300632,767.5
010135,S,315739,762.5
011378,S,305508,755.0
010788,S,341032,753.75
010816,S,331280,752.5
011555,S,313312,747.5
009068,S,305375,746.25
011547,S,340224,746.25
011851,S,304063,742.5
010534,S,325191,740.0
010952,S,309518,737.5
011201,S,302380,737.5
011420,S,307389,736.25
009617,S,307645,733.75
009857,S,303693,733.75
010208,S,320416,727.5
010700,S,306167,726.25
010422,S,302638,726.25
009144,S,310714,715.0
010093,S,318428,713.75
011446,S,310615,713.75
010283,S,313981,712.5
011499,S,301614,708.75
011284,S,301754,706.25
010127,S,331975,706.25
010457,S,309039,703.75
010728,S,314062,700.0
009242,S,301622,697.5
010543,S,306936,696.25
033975,S,317800,687.5
009378,S,307298,687.5
033948,S,300368,685.0
010967,S,312256,681.25
009214,S,306647,680.0
010254,S,314187,680.0
011088,S,315077,675.0
009534,S,341651,675.0
010109,S,340802,675.0
009413,S,316851,671.25
009884,S,345736,671.25
010047,S,316919,660.0
009719,S,321133,656.25
011046,S,340380,653.75
010436,S,310896,652.5
011028,S,326215,650.0
011158,S,316802,646.25
010466,S,317768,645.0
011134,S,318097,643.75
010224,S,316331,643.75
009655,S,302430,641.25
011813,S,313205,640.0
010164,S,330977,633.75
010395,S,306209,630.0
033914,S,304675,630.0
011174,S,326314,623.75
009965,S,326793,621.25
010216,S,340877,618.75
011663,S,330142,617.5
009269,S,306522,617.5
010621,S,308064,616.25
010674,S,305235,611.25
010015,S,326892,611.25
009263,S,318824,607.5
011793,S,304899,605.0
009077,S,332080,603.75
033888,S,326041,600.0
009424,S,321497,597.5
