lito,tema,codigo,puntaje
010548,P,302273,1766.25
011632,P,308882,1598.75
010088,P,307702,1513.75
009722,P,307835,1488.75
011526,P,309914,1453.75
011273,P,308270,1447.5
009440,P,309260,1357.5
011564,P,310235,1323.75
009134,P,303149,1300.0
009575,P,330233,1290.0
011121,P,308767,1262.5
011693,P,300988,1216.25
009654,P,304691,1216.25
011179,P,316281,1185.0
010870,P,300202,1182.5
011731,P,309286,1180.0
010838,P,321752,1175.0
009696,P,340182,1112.5
009302,P,312983,1102.5
009420,P,306100,1088.75
010125,P,309401,1082.5
011112,P,312991,1080.0
009280,P,303115,1062.5
009956,P,309351,1048.75
011648,P,345934,1045.0
009046,P,307827,1040.0
011365,P,316174,1033.75
011296,P,312579,1030.0
011740,P,309930,1018.75
010132,P,308353,985.0
009246,P,311837,977.5
011132,P,305383,975.0
010837,P,310359,973.75
010213,P,307512,955.0
010630,P,306118,926.25
011185,P,340042,907.5
009286,P,308023,897.5
010627,P,311951,896.25
011466,P,310920,893.75
009999,P,308759,877.5
010927,P,308601,873.75
011405,P,326603,865.0
009930,P,303990,862.5
010813,P,325696,850.0
011058,P,304550,840.0
011489,P,318261,838.75
010290,P,308999,833.75
011451,P,311498,825.0
033919,P,310557,823.75
011220,P,325555,820.0
011576,P,311969,817.5
009603,P,301978,816.25
011518,P,326009,811.25
010978,P,311522,810.0
011449,P,307181,810.0
033952,P,321687,808.75
010931,P,325316,808.75
011846,P,319939,807.5
011033,P,330738,803.75
009571,P,302539,802.5
009786,P,320523,801.25
011190,P,306555,800.0
009113,P,320770,797.5
011373,P,345942,797.5
010785,P,305631,796.25
010149,P,325209,793.75
011502,P,302679,793.75
010063,P,312678,792.5
009429,P,317990,786.25
011419,P,304964,785.0
010485,P,326629,783.75
011580,P,340257,783.75
009459,P,311654,782.5
009397,P,321760,780.0
011006,P,305656,773.75
010005,P,301499,768.75
010376,P,311258,767.5
009289,P,307603,765.0
011020,P,305102,762.5
011458,P,303826,762.5
033939,P,308643,756.25
010056,P,331983,755.0
009102,P,306951,751.25
009878,P,313197,747.5
009188,P,318683,746.25
009760,P,312413,746.25
011748,P,345108,742.5
010496,P,318063,740.0
010331,P,309617,737.5
009108,P,302067,733.75
010799,P,321653,728.75
010582,P,305920,718.75
011293,P,314112,716.25
011414,P,310250,715.0
009846,P,319673,713.75
009488,P,327064,712.5
033980,P,330936,710.0
009870,P,325043,710.0
009338,P,307447,710.0
011425,P,318543,710.0
